sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ACAA1","Approved symbol","ACAA1","acetyl-CoA acyltransferase 1","HGNC:82","3p22.2"
"ACAA2","Approved symbol","ACAA2","acetyl-CoA acyltransferase 2","HGNC:83","18q21.1"
"ACACA","Approved symbol","ACACA","acetyl-CoA carboxylase alpha","HGNC:84","17q12"
"ACACB","Approved symbol","ACACB","acetyl-CoA carboxylase beta","HGNC:85","12q24.11"
"ACAD10","Approved symbol","ACAD10","acyl-CoA dehydrogenase family member 10","HGNC:21597","12q24.12"
"ACAD11","Approved symbol","ACAD11","acyl-CoA dehydrogenase family member 11","HGNC:30211","3q22.1"
"ACAD8","Approved symbol","ACAD8","acyl-CoA dehydrogenase family member 8","HGNC:87","11q25"
"ACAD9","Approved symbol","ACAD9","acyl-CoA dehydrogenase family member 9","HGNC:21497","3q21.3"
"ACADL","Approved symbol","ACADL","acyl-CoA dehydrogenase long chain","HGNC:88","2q34"
"ACADM","Approved symbol","ACADM","acyl-CoA dehydrogenase medium chain","HGNC:89","1p31.1"
"ACADS","Approved symbol","ACADS","acyl-CoA dehydrogenase short chain","HGNC:90","12q24.31"
"ACADSB","Approved symbol","ACADSB","acyl-CoA dehydrogenase short/branched chain","HGNC:91","10q26.13"
"ACADVL","Approved symbol","ACADVL","acyl-CoA dehydrogenase very long chain","HGNC:92","17p13.1"
"ACAP2","Approved symbol","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","HGNC:16469","3q29"
"ACAP3","Approved symbol","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","HGNC:16754","1p36.33"
"ACAT1","Approved symbol","ACAT1","acetyl-CoA acetyltransferase 1","HGNC:93","11q22.3"
"ACAT2","Approved symbol","ACAT2","acetyl-CoA acetyltransferase 2","HGNC:94","6q25.3"
"ACAT2","Alias symbol","SOAT2","sterol O-acyltransferase 2","HGNC:11178","12q13.13"
"ACBD3","Approved symbol","ACBD3","acyl-CoA binding domain containing 3","HGNC:15453","1q42.12"
"ACBD4","Approved symbol","ACBD4","acyl-CoA binding domain containing 4","HGNC:23337","17q21.31"
"ACBD5","Approved symbol","ACBD5","acyl-CoA binding domain containing 5","HGNC:23338","10p12.1"
"ACBD6","Approved symbol","ACBD6","acyl-CoA binding domain containing 6","HGNC:23339","1q25.2-q25.3"
"ACBD7","Approved symbol","ACBD7","acyl-CoA binding domain containing 7","HGNC:17715","10p13"
"ACCS","Approved symbol","ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (inactive)","HGNC:23989","11p11.2"
"ACD","Approved symbol","ACD","ACD shelterin complex subunit and telomerase recruitment factor","HGNC:25070","16q22.1"
"ACER2","Approved symbol","ACER2","alkaline ceramidase 2","HGNC:23675","9p22.1"
"ACER3","Approved symbol","ACER3","alkaline ceramidase 3","HGNC:16066","11q13.5"
"ACHE","Approved symbol","ACHE","acetylcholinesterase (Cartwright blood group)","HGNC:108","7q22.1"
"ACIN1","Approved symbol","ACIN1","apoptotic chromatin condensation inducer 1","HGNC:17066","14q11.2"
"ACKR3","Approved symbol","ACKR3","atypical chemokine receptor 3","HGNC:23692","2q37.3"
"ACLY","Approved symbol","ACLY","ATP citrate lyase","HGNC:115","17q21.2"
"ACN9","Previous symbol","SDHAF3","succinate dehydrogenase complex assembly factor 3","HGNC:21752","7q21.3"
"ACO1","Approved symbol","ACO1","aconitase 1","HGNC:117","9p21.1"
"ACO2","Approved symbol","ACO2","aconitase 2","HGNC:118","22q13.2"
"ACOT1","Approved symbol","ACOT1","acyl-CoA thioesterase 1","HGNC:33128","14q24.3"
"ACOT11","Approved symbol","ACOT11","acyl-CoA thioesterase 11","HGNC:18156","1p32.3"
"ACOT13","Approved symbol","ACOT13","acyl-CoA thioesterase 13","HGNC:20999","6p22.3"
"ACOT2","Approved symbol","ACOT2","acyl-CoA thioesterase 2","HGNC:18431","14q24.3"
"ACOT4","Approved symbol","ACOT4","acyl-CoA thioesterase 4","HGNC:19748","14q24.3"
"ACOT7","Approved symbol","ACOT7","acyl-CoA thioesterase 7","HGNC:24157","1p36.31"
"ACOT8","Approved symbol","ACOT8","acyl-CoA thioesterase 8","HGNC:15919","20q13.12"
"ACOT9","Approved symbol","ACOT9","acyl-CoA thioesterase 9","HGNC:17152","Xp22.11"
"ACOX1","Approved symbol","ACOX1","acyl-CoA oxidase 1","HGNC:119","17q25.1"
"ACOX2","Approved symbol","ACOX2","acyl-CoA oxidase 2","HGNC:120","3p14.3"
"ACOX3","Approved symbol","ACOX3","acyl-CoA oxidase 3, pristanoyl","HGNC:121","4p16.1"
"ACP1","Approved symbol","ACP1","acid phosphatase 1","HGNC:122","2p25.3"
"ACP1","Alias symbol","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1","HGNC:7694","16p12.2"
"ACP2","Approved symbol","ACP2","acid phosphatase 2, lysosomal","HGNC:123","11p11.2"
"ACP6","Approved symbol","ACP6","acid phosphatase 6, lysophosphatidic","HGNC:29609","1q21.2"
"ACPL2","Previous symbol","PXYLP1","2-phosphoxylose phosphatase 1","HGNC:26303","3q23"
"ACRC","Previous symbol","GCNA","germ cell nuclear acidic peptidase","HGNC:15805","Xq13.1"
"ACSF2","Approved symbol","ACSF2","acyl-CoA synthetase family member 2","HGNC:26101","17q21.33"
"ACSF3","Approved symbol","ACSF3","acyl-CoA synthetase family member 3","HGNC:27288","16q24.3"
"ACSL1","Approved symbol","ACSL1","acyl-CoA synthetase long chain family member 1","HGNC:3569","4q35.1"
"ACSL3","Approved symbol","ACSL3","acyl-CoA synthetase long chain family member 3","HGNC:3570","2q36.1"
"ACSL4","Approved symbol","ACSL4","acyl-CoA synthetase long chain family member 4","HGNC:3571","Xq23"
"ACSL5","Approved symbol","ACSL5","acyl-CoA synthetase long chain family member 5","HGNC:16526","10q25.2"
"ACSM3","Approved symbol","ACSM3","acyl-CoA synthetase medium chain family member 3","HGNC:10522","16p12.3"
"ACSS1","Approved symbol","ACSS1","acyl-CoA synthetase short chain family member 1","HGNC:16091","20p11.21"
"ACSS2","Approved symbol","ACSS2","acyl-CoA synthetase short chain family member 2","HGNC:15814","20q11.22"
"ACSS3","Approved symbol","ACSS3","acyl-CoA synthetase short chain family member 3","HGNC:24723","12q21.31"
"ACTA2","Approved symbol","ACTA2","actin alpha 2, smooth muscle","HGNC:130","10q23.31"
"ACTB","Approved symbol","ACTB","actin beta","HGNC:132","7p22.1"
"ACTG1","Approved symbol","ACTG1","actin gamma 1","HGNC:144","17q25.3"
"ACTL6A","Approved symbol","ACTL6A","actin like 6A","HGNC:24124","3q26.33"
"ACTL6B","Approved symbol","ACTL6B","actin like 6B","HGNC:160","7q22.1"
"ACTN1","Approved symbol","ACTN1","actinin alpha 1","HGNC:163","14q24.1"
"ACTN4","Approved symbol","ACTN4","actinin alpha 4","HGNC:166","19q13.2"
"ACTR10","Approved symbol","ACTR10","actin related protein 10","HGNC:17372","14q23.1"
"ACTR1A","Approved symbol","ACTR1A","actin related protein 1A","HGNC:167","10q24.32"
"ACTR1B","Approved symbol","ACTR1B","actin related protein 1B","HGNC:168","2q11.2"
"ACTR2","Approved symbol","ACTR2","actin related protein 2","HGNC:169","2p14"
"ACTR3","Approved symbol","ACTR3","actin related protein 3","HGNC:170","2q14.1"
"ACTR3B","Approved symbol","ACTR3B","actin related protein 3B","HGNC:17256","7q36.1-q36.2"
"ACTR5","Approved symbol","ACTR5","actin related protein 5","HGNC:14671","20q11.23"
"ACTR6","Approved symbol","ACTR6","actin related protein 6","HGNC:24025","12q23.1"
"ACTR8","Approved symbol","ACTR8","actin related protein 8","HGNC:14672","3p21.1"
"ACTRT3","Approved symbol","ACTRT3","actin related protein T3","HGNC:24022","3q26.2"
"ACVR1","Approved symbol","ACVR1","activin A receptor type 1","HGNC:171","2q24.1"
"ACVR1B","Approved symbol","ACVR1B","activin A receptor type 1B","HGNC:172","12q13.13"
"ACVR1C","Approved symbol","ACVR1C","activin A receptor type 1C","HGNC:18123","2q24.1"
"ACVR2A","Approved symbol","ACVR2A","activin A receptor type 2A","HGNC:173","2q22.3-q23.1"
"ACVR2B","Approved symbol","ACVR2B","activin A receptor type 2B","HGNC:174","3p22.2"
"ACY1","Approved symbol","ACY1","aminoacylase 1","HGNC:177","3p21.2"
"ACY3","Approved symbol","ACY3","aminoacylase 3","HGNC:24104","11q13.2"
"ACYP1","Approved symbol","ACYP1","acylphosphatase 1","HGNC:179","14q24.3"
"ACYP2","Approved symbol","ACYP2","acylphosphatase 2","HGNC:180","2p16.2"
"ADA","Approved symbol","ADA","adenosine deaminase","HGNC:186","20q13.12"
"ADAL","Approved symbol","ADAL","adenosine deaminase like","HGNC:31853","15q15.3"
"ADAM10","Approved symbol","ADAM10","ADAM metallopeptidase domain 10","HGNC:188","15q21.3"
"ADAM11","Approved symbol","ADAM11","ADAM metallopeptidase domain 11","HGNC:189","17q21.31"
"ADAM12","Approved symbol","ADAM12","ADAM metallopeptidase domain 12","HGNC:190","10q26.2"
"ADAM15","Approved symbol","ADAM15","ADAM metallopeptidase domain 15","HGNC:193","1q21.3"
"ADAM17","Approved symbol","ADAM17","ADAM metallopeptidase domain 17","HGNC:195","2p25.1"
"ADAM19","Approved symbol","ADAM19","ADAM metallopeptidase domain 19","HGNC:197","5q33.3"
"ADAM21","Approved symbol","ADAM21","ADAM metallopeptidase domain 21","HGNC:200","14q24.2"
"ADAM22","Approved symbol","ADAM22","ADAM metallopeptidase domain 22","HGNC:201","7q21.12"
"ADAM23","Approved symbol","ADAM23","ADAM metallopeptidase domain 23","HGNC:202","2q33.3"
"ADAM23","Alias symbol","ADAM28","ADAM metallopeptidase domain 28","HGNC:206","8p21.2"
"ADAM28","Approved symbol","ADAM28","ADAM metallopeptidase domain 28","HGNC:206","8p21.2"
"ADAM8","Approved symbol","ADAM8","ADAM metallopeptidase domain 8","HGNC:215","10q26.3"
"ADAM9","Approved symbol","ADAM9","ADAM metallopeptidase domain 9","HGNC:216","8p11.22"
"ADAMTS1","Approved symbol","ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1","HGNC:217","21q21.3"
"ADAMTS10","Approved symbol","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10","HGNC:13201","19p13.2"
"ADAMTS12","Approved symbol","ADAMTS12","ADAM metallopeptidase with thrombospondin type 1 motif 12","HGNC:14605","5p13.3-p13.2"
"ADAMTS13","Approved symbol","ADAMTS13","ADAM metallopeptidase with thrombospondin type 1 motif 13","HGNC:1366","9q34.2"
"ADAMTS15","Approved symbol","ADAMTS15","ADAM metallopeptidase with thrombospondin type 1 motif 15","HGNC:16305","11q24.3"
"ADAMTS16","Approved symbol","ADAMTS16","ADAM metallopeptidase with thrombospondin type 1 motif 16","HGNC:17108","5p15.32"
"ADAMTS20","Approved symbol","ADAMTS20","ADAM metallopeptidase with thrombospondin type 1 motif 20","HGNC:17178","12q12"
"ADAMTS3","Approved symbol","ADAMTS3","ADAM metallopeptidase with thrombospondin type 1 motif 3","HGNC:219","4q13.3"
"ADAMTS6","Approved symbol","ADAMTS6","ADAM metallopeptidase with thrombospondin type 1 motif 6","HGNC:222","5q12.3"
"ADAMTS7","Approved symbol","ADAMTS7","ADAM metallopeptidase with thrombospondin type 1 motif 7","HGNC:223","15q25.1"
"ADAMTS9","Approved symbol","ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9","HGNC:13202","3p14.1"
"ADAMTSL4","Approved symbol","ADAMTSL4","ADAMTS like 4","HGNC:19706","1q21.2"
"ADAMTSL5","Approved symbol","ADAMTSL5","ADAMTS like 5","HGNC:27912","19p13.3"
"ADAP1","Approved symbol","ADAP1","ArfGAP with dual PH domains 1","HGNC:16486","7p22.3"
"ADAP2","Approved symbol","ADAP2","ArfGAP with dual PH domains 2","HGNC:16487","17q11.2"
"ADAR","Approved symbol","ADAR","adenosine deaminase RNA specific","HGNC:225","1q21.3"
"ADARB1","Approved symbol","ADARB1","adenosine deaminase RNA specific B1","HGNC:226","21q22.3"
"ADAT1","Approved symbol","ADAT1","adenosine deaminase tRNA specific 1","HGNC:228","16q23.1"
"ADAT2","Approved symbol","ADAT2","adenosine deaminase tRNA specific 2","HGNC:21172","6q24.2"
"ADAT3","Approved symbol","ADAT3","adenosine deaminase tRNA specific 3","HGNC:25151","19p13.3"
"ADC","Previous symbol","AZIN2","antizyme inhibitor 2","HGNC:29957","1p35.1"
"ADCK1","Approved symbol","ADCK1","aarF domain containing kinase 1","HGNC:19038","14q24.3"
"ADCK2","Approved symbol","ADCK2","aarF domain containing kinase 2","HGNC:19039","7q34"
"ADCK3","Previous symbol","COQ8A","coenzyme Q8A","HGNC:16812","1q42.13"
"ADCK4","Previous symbol","COQ8B","coenzyme Q8B","HGNC:19041","19q13.2"
"ADCK5","Approved symbol","ADCK5","aarF domain containing kinase 5","HGNC:21738","8q24.3"
"ADCY1","Approved symbol","ADCY1","adenylate cyclase 1","HGNC:232","7p12.3"
"ADCY3","Approved symbol","ADCY3","adenylate cyclase 3","HGNC:234","2p23.3"
"ADCY3","Previous symbol","ADCY8","adenylate cyclase 8","HGNC:239","8q24.22"
"ADCY6","Approved symbol","ADCY6","adenylate cyclase 6","HGNC:237","12q13.12"
"ADCY7","Approved symbol","ADCY7","adenylate cyclase 7","HGNC:238","16q12.1"
"ADCY9","Approved symbol","ADCY9","adenylate cyclase 9","HGNC:240","16p13.3"
"ADD1","Approved symbol","ADD1","adducin 1","HGNC:243","4p16.3"
"ADD2","Approved symbol","ADD2","adducin 2","HGNC:244","2p13.3"
"ADD3","Approved symbol","ADD3","adducin 3","HGNC:245","10q25.1-q25.2"
"ADH4","Approved symbol","ADH4","alcohol dehydrogenase 4 (class II), pi polypeptide","HGNC:252","4q23"
"ADH5","Approved symbol","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide","HGNC:253","4q23"
"ADH6","Approved symbol","ADH6","alcohol dehydrogenase 6 (class V)","HGNC:255","4q23"
"ADHFE1","Approved symbol","ADHFE1","alcohol dehydrogenase iron containing 1","HGNC:16354","8q13.1"
"ADHFE1","Alias symbol","ADHFE1","alcohol dehydrogenase iron containing 1","HGNC:16354","8q13.1"
"ADI1","Approved symbol","ADI1","acireductone dioxygenase 1","HGNC:30576","2p25.3"
"ADIPOR1","Approved symbol","ADIPOR1","adiponectin receptor 1","HGNC:24040","1q32.1"
"ADIPOR2","Approved symbol","ADIPOR2","adiponectin receptor 2","HGNC:24041","12p13.33"
"ADK","Approved symbol","ADK","adenosine kinase","HGNC:257","10q22.2"
"ADM","Approved symbol","ADM","adrenomedullin","HGNC:259","11p15.4"
"ADM2","Approved symbol","ADM2","adrenomedullin 2","HGNC:28898","22q13.33"
"ADM5","Approved symbol","ADM5","adrenomedullin 5 (putative)","HGNC:27293","19q13.33"
"ADNP","Approved symbol","ADNP","activity dependent neuroprotector homeobox","HGNC:15766","20q13.13"
"ADNP2","Approved symbol","ADNP2","ADNP homeobox 2","HGNC:23803","18q23"
"ADO","Approved symbol","ADO","2-aminoethanethiol dioxygenase","HGNC:23506","10q21.3"
"ADORA2B","Approved symbol","ADORA2B","adenosine A2b receptor","HGNC:264","17p12"
"ADPGK","Approved symbol","ADPGK","ADP dependent glucokinase","HGNC:25250","15q24.1"
"ADPRH","Approved symbol","ADPRH","ADP-ribosylarginine hydrolase","HGNC:269","3q13.33"
"ADPRHL1","Approved symbol","ADPRHL1","ADP-ribosylhydrolase like 1","HGNC:21303","13q34"
"ADPRHL2","Previous symbol","ADPRS","ADP-ribosylserine hydrolase","HGNC:21304","1p34.3"
"ADPRM","Approved symbol","ADPRM","ADP-ribose/CDP-alcohol diphosphatase, manganese dependent","HGNC:30925","17p13.1"
"ADRA1B","Approved symbol","ADRA1B","adrenoceptor alpha 1B","HGNC:278","5q33.3"
"ADRA1D","Approved symbol","ADRA1D","adrenoceptor alpha 1D","HGNC:280","20p13"
"ADRA2C","Approved symbol","ADRA2C","adrenoceptor alpha 2C","HGNC:283","4p16.3"
"ADRB1","Approved symbol","ADRB1","adrenoceptor beta 1","HGNC:285","10q25.3"
"ADRB2","Approved symbol","ADRB2","adrenoceptor beta 2","HGNC:286","5q32"
"ADRBK1","Previous symbol","GRK2","G protein-coupled receptor kinase 2","HGNC:289","11q13.2"
"ADRBK2","Previous symbol","GRK3","G protein-coupled receptor kinase 3","HGNC:290","22q12.1"
"ADRM1","Approved symbol","ADRM1","adhesion regulating molecule 1","HGNC:15759","20q13.33"
"ADSL","Approved symbol","ADSL","adenylosuccinate lyase","HGNC:291","22q13.1"
"ADSS","Previous symbol","ADSS2","adenylosuccinate synthase 2","HGNC:292","1q44"
"ADSSL1","Previous symbol","ADSS1","adenylosuccinate synthase 1","HGNC:20093","14q32.33"
"ADTRP","Approved symbol","ADTRP","androgen dependent TFPI regulating protein","HGNC:21214","6p24.1"
"AEBP2","Approved symbol","AEBP2","AE binding protein 2","HGNC:24051","12p12.3"
"AEN","Approved symbol","AEN","apoptosis enhancing nuclease","HGNC:25722","15q26.1"
"AES","Previous symbol","TLE5","TLE family member 5, transcriptional modulator","HGNC:307","19p13.3"
"AFAP1","Approved symbol","AFAP1","actin filament associated protein 1","HGNC:24017","4p16.1"
"AFAP1L1","Approved symbol","AFAP1L1","actin filament associated protein 1 like 1","HGNC:26714","5q32"
"AFAP1L2","Approved symbol","AFAP1L2","actin filament associated protein 1 like 2","HGNC:25901","10q25.3"
"AFF1","Approved symbol","AFF1","AF4/FMR2 family member 1","HGNC:7135","4q21.3-q22.1"
"AFF3","Approved symbol","AFF3","AF4/FMR2 family member 3","HGNC:6473","2q11.2"
"AFF4","Approved symbol","AFF4","AF4/FMR2 family member 4","HGNC:17869","5q31.1"
"AFG3L2","Approved symbol","AFG3L2","AFG3 like matrix AAA peptidase subunit 2","HGNC:315","18p11.21"
"AFMID","Approved symbol","AFMID","arylformamidase","HGNC:20910","17q25.3"
"AFTPH","Approved symbol","AFTPH","aftiphilin","HGNC:25951","2p14"
"AGA","Approved symbol","AGA","aspartylglucosaminidase","HGNC:318","4q34.3"
"AGAP1","Approved symbol","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1","HGNC:16922","2q37.2"
"AGAP2","Approved symbol","AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2","HGNC:16921","12q14.1"
"AGAP2-AS1","Approved symbol","AGAP2-AS1","AGAP2 antisense RNA 1","HGNC:48633","12q14.1"
"AGAP3","Approved symbol","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","HGNC:16923","7q36.1"
